num_demands,seed,state,demand_id,bandwidth,ip_source,ip_target,optical_source,optical_target,ip_path,optical_mapped_path,ip_link_lightpaths
6,6042,lns,d1,46,4,3,6,9,4 -> 3,6 -> 9,"IP 4->3 maps OPT 6->9: LP#13: 6 -> 3 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=6-6, slots=1]"
6,6042,lns,d2,70,0,3,1,9,0 -> 3,1 -> 9,"IP 0->3 maps OPT 1->9: LP#4: 1 -> 8 -> 7 -> 2 -> 6 -> 9 [slot=2-2, slots=1]"
6,6042,lns,d3,35,4,0,6,1,4 -> 0,6 -> 1,"IP 4->0 maps OPT 6->1: LP#3: 6 -> 3 -> 7 -> 8 -> 1 [slot=3-3, slots=1]"
6,6042,lns,d4,78,1,0,0,1,1 -> 3 -> 0,0 -> 9 -> 1,"IP 1->3 maps OPT 0->9: LP#11: 0 -> 4 -> 2 -> 6 -> 1 -> 5 -> 9 [slot=4-4, slots=1] | IP 3->0 maps OPT 9->1: LP#14: 9 -> 6 -> 2 -> 4 -> 8 -> 1 [slot=0-0, slots=1]"
6,6042,lns,d5,66,5,0,5,1,5 -> 0,5 -> 1,"IP 5->0 maps OPT 5->1: LP#16: 5 -> 9 -> 6 -> 3 -> 7 -> 8 -> 1 [slot=8-8, slots=1]"
8,8042,initial,d0,48,2,3,4,9,2 -> 3,4 -> 9,"IP 2->3 maps OPT 4->9: LP#0: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1]; LP#1: 4 -> 8 -> 1 -> 5 -> 9 [slot=0-0, slots=1]; LP#2: 4 -> 8 -> 1 -> 6 -> 9 [slot=1-1, slots=1]; LP#3: 4 -> 2 -> 7 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1]"
8,8042,initial,d1,94,3,5,9,5,3 -> 1 -> 5,9 -> 0 -> 5,"IP 3->1 maps OPT 9->0: LP#4: 9 -> 6 -> 1 -> 8 -> 7 -> 2 -> 4 -> 0 [slot=0-0, slots=1]; LP#5: 9 -> 6 -> 3 -> 7 -> 2 -> 4 -> 0 [slot=1-1, slots=1]; LP#6: 9 -> 6 -> 3 -> 7 -> 2 -> 4 -> 0 [slot=2-2, slots=1] | IP 1->5 maps OPT 0->5: LP#7: 0 -> 4 -> 2 -> 7 -> 3 -> 6 -> 1 -> 5 [slot=1-1, slots=1]; LP#8: 0 -> 4 -> 8 -> 1 -> 5 [slot=3-3, slots=1]"
8,8042,initial,d2,88,2,3,4,9,2 -> 3,4 -> 9,"IP 2->3 maps OPT 4->9: LP#0: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1]; LP#1: 4 -> 8 -> 1 -> 5 -> 9 [slot=0-0, slots=1]; LP#2: 4 -> 8 -> 1 -> 6 -> 9 [slot=1-1, slots=1]; LP#3: 4 -> 2 -> 7 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1]"
8,8042,initial,d3,47,1,5,0,5,1 -> 3 -> 4 -> 5,0 -> 9 -> 6 -> 5,"IP 1->3 maps OPT 0->9: LP#9: 0 -> 4 -> 8 -> 1 -> 6 -> 9 [slot=4-4, slots=1] | IP 3->4 maps OPT 9->6: LP#10: 9 -> 5 -> 7 -> 8 -> 1 -> 6 [slot=5-5, slots=1]; LP#11: 9 -> 6 [slot=3-3, slots=1] | IP 4->5 maps OPT 6->5: LP#12: 6 -> 3 -> 7 -> 5 [slot=0-0, slots=1]; LP#13: 6 -> 2 -> 7 -> 5 [slot=3-3, slots=1]; LP#14: 6 -> 3 -> 7 -> 5 [slot=4-4, slots=1]"
8,8042,initial,d4,77,2,1,4,0,2 -> 3 -> 1,4 -> 9 -> 0,"IP 2->3 maps OPT 4->9: LP#0: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1]; LP#1: 4 -> 8 -> 1 -> 5 -> 9 [slot=0-0, slots=1]; LP#2: 4 -> 8 -> 1 -> 6 -> 9 [slot=1-1, slots=1]; LP#3: 4 -> 2 -> 7 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1] | IP 3->1 maps OPT 9->0: LP#4: 9 -> 6 -> 1 -> 8 -> 7 -> 2 -> 4 -> 0 [slot=0-0, slots=1]; LP#5: 9 -> 6 -> 3 -> 7 -> 2 -> 4 -> 0 [slot=1-1, slots=1]; LP#6: 9 -> 6 -> 3 -> 7 -> 2 -> 4 -> 0 [slot=2-2, slots=1]"
